Id,Title,Zip,Town,Price,Surface,NumberOfRooms,Description
7734117,Appartement,1050,Ixelles,560000,175,3,TOISON D'OR LOUISE BEL APPT 3CH-2SDB DUPLEX PENTHOUSE DE 180
7759216,Appartement,1050,Ixelles,1839000,203,3,Condor - Luxueux appartement 3 ch
8106610,Appartement,1050,Ixelles,359000,121,3,Molière / place Brugmann appartement 3 chambres
8132667,Appartement,1050,Ixelles,540000,150,3,Appartement de grand standing
8246369,Appartement,1050,Ixelles,820000,180,4,"Place Brugmann, appartement de ± 180 m², 4 chambres, terrass"
8191215,Rez-de-chaussée,1050,Ixelles,850000,225,3,Ixelles I Châtelain
8044017,Appartement,1050,Ixelles,1095000,255,4,A PROX DE LA PLACE BRUGMANN  TRES BEL APPART PARISIEN DE 250
7959754,Rez-de-chaussée,1050,Ixelles,1190000,267,3,Coup de coeur à deux pas de la Pl. Brugmann.
7890191,Appartement,1050,Ixelles,1850000,300,4,Châtelain très bel appartement de 300 m2
7653828,Appartement,1050,Ixelles,2400000,339,3,Ixelles I Place Brugmann
8308608,LOUISE 430 - projet de 6 unités,1050,Ixelles,,112,4,"LOUISE 430 û A deux pas des Etangs d'Ixelles, superbe immeub"
8092640,Appartement,1050,Ixelles,750000,165,3,SOUS COMPROMIS Appartement
6889654,Appartement,1050,BRUXELLES,850000,285,4,"Appartement 4 Ch (4ème) , proche du quartier du Chatelain."
8271352,Appartement,1050,Ixelles,855000,144,3,3 CHAMBRES D'EXCEPTION
8147986,Appartement,1050,Ixelles,855000,144,3,LUXUEUX 3 CHAMBRES NEUF
8252084,Appartement,1050,Ixelles,895000,225,3,"Jardin du Roi, appartement de caractère de 225m2 avec terras"
8103726,Secret Garden - projet de 32 unités,1050,Ixelles,,49,3,DEJA 75% VENDU - LIVRAISON ETE 2019 ! Un domaine privé où ...
8222087,Le Bailli - projet de 12 unités,1050,Ixelles,,69,3,"Le Bailli - Droit d'enregistrement à 12,5%"
7277227,Appartement,1050,Bruxelles,4100000,384,5,Louise/Bois de la Cambre: Penthouse d'exception
7653797,Appartement,1050,Ixelles,1395000,250,3,Ixelles I Toison d'Or
7653800,Appartement,1050,Ixelles,1495000,248,3,Ixelles I Toison d'Or
8041969,Appartement,1050,Ixelles,1640000,285,3,Abbaye La Cambre -Appartement de prestige rénové-3CH-3SDB
7653839,Appartement,1050,Ixelles,3950000,424,3,Ixelles I Toison d'Or
7339486,Penthouse,1050,Ixelles,3950000,462,3,Unique !
7331990,Appartement,1050,Ixelles,529000,160,3,*** SOUS OPTION - VENDU PAR MYIMMO EUROPA *** BRUXELLES (Bois de ...
8230011,Appartement,1050,Ixelles,660000,204,3,Sublime triplex + terrasses! A découvrir rapidement !!!
8229627,Penthouse,1050,Ixelles,820000,189,4,Magnifique appartement - quartier Place Brugmann
8192632,Appartement,1050,Ixelles,975000,235,3,Appartement d'exception de 235 m² - 3 ch et grande terrasse
8240103,Rez-de-chaussée,1050,Ixelles,1150000,230,3,Sublime rez-de-jardin - Ixelles
7930182,Appartement,1050,Ixelles,1790000,420,3,Ixelles I Etangs d'Ixelles
8304462,Cambre33 proj - projet de 13 unités,1050,Ixelles,,106,3,"Te koop in Ixelles ; äCambre33», een Fenixco-project, biedt een ..."
7411573,Duplex,1050,Ixelles,450000,128,3,Beau Duplex Proche des Etangs d'Ixelles
7343543,Appartement,1050,Ixelles,475000,154,3,Magnifique appartement 3 chambres
